iter	Passed	Remaining
0	4	1226
1	6	1022
2	8	882
3	13	976
4	13	812
5	16	785
6	18	777
7	21	775
8	25	811
9	26	779
10	28	751
11	30	731
12	31	689
13	33	682
14	35	670
15	37	668
16	38	637
17	41	643
18	44	653
19	45	636
20	50	664
21	51	656
22	54	659
23	58	669
24	60	669
25	62	660
26	65	657
27	67	652
28	69	647
29	71	644
30	73	637
31	75	636
32	77	626
33	79	619
34	81	614
35	83	609
36	84	602
37	86	597
38	88	591
39	91	591
40	92	581
41	94	577
42	94	565
43	96	561
44	96	549
45	98	545
46	100	542
47	102	538
48	104	535
49	106	531
50	108	528
51	110	525
52	111	519
53	112	511
54	114	508
55	115	504
56	117	501
57	119	499
58	121	497
59	122	489
60	124	487
61	125	482
62	127	479
63	128	475
64	130	472
65	132	469
66	134	466
67	135	462
68	136	456
69	138	453
70	139	451
71	140	444
72	142	442
73	144	440
74	532
74	176	528
75	177	523
76	179	520
77	181	517
78	183	513
79	185	510
80	187	506
81	189	503
82	191	500
83	193	496
84	195	493
85	197	490
86	198	484
87	199	481
88	201	478
89	202	473
90	204	469
91	206	466
92	208	463
93	209	458
94	211	455
95	212	452
96	214	449
97	216	446
98	217	441
99	219	438
100	221	435
101	223	433
102	224	430
103	226	427
104	227	422
105	229	419
106	230	415
107	232	413
108	234	410
109	235	407
110	237	404
111	239	401
112	241	399
113	243	396
114	244	393
115	246	390
116	247	387
117	249	385
118	251	382
119	253	379
120	255	377
121	256	373
122	258	371
123	259	368
124	261	366
125	263	363
126	265	361
127	266	358
128	268	356
129	270	353
130	272	350
131	273	348
132	274	345
133	276	342
134	278	340
135	280	337
136	281	335
137	283	332
138	285	330
139	285	326
140	286	323
141	288	321
142	289	317
143	291	315
144	293	313
145	294	311
146	296	308
147	298	306
148	300	304
149	302	302
150	302	298
151	304	296
152	306	294
153	308	292
154	309	289
155	311	287
156	313	285
157	314	283
158	316	280
159	317	278
160	319	275
161	321	273
162	322	271
163	324	269
412	337
165	414	334
166	416	331
167	417	328
168	419	325
169	421	322
170	423	319
171	425	316
172	427	313
173	429	311
173	608	440
174	612	437
175	615	433
176	617	429
177	619	424
178	621	419
179	625	417
180	627	412
181	631	409
182	634	405
183	637	402
184	639	397
185	641	393
186	644	389
187	644	384
188	645	379
189	648	375
190	650	371
191	651	366
192	653	362
193	655	358
194	657	354
195	659	349
196	660	345
197	662	341
198	664	337
199	666	333
200	668	329
201	670	325
202	672	321
203	674	317
204	676	313
205	678	309
206	680	305
207	683	302
208	685	298
209	687	294
210	689	290
211	690	286
212	692	282
213	694	279
214	695	275
215	697	271
216	699	267
217	701	263
218	703	260
219	705	256
220	706	252
221	708	249
222	710	245
223	712	241
224	714	238
225	716	234
226	718	230
227	720	227
228	722	223
229	724	220
230	726	216
231	728	213
232	729	209
233	731	206
234	733	202
235	735	199
236	737	196
237	739	192
238	741	189
239	742	185
240	744	182
241	746	178
242	748	175
243	749	172
244	751	168
245	753	165
246	755	162
247	757	158
248	759	155
249	761	152
250	762	148
251	764	145
252	765	142
253	767	139
0	103
256	601	100
257	603	98
258	604	95
259	606	93
260	608	90
261	610	88
262	611	86
263	612	83
264	614	81
265	615	78
